     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   87.,    1.0,   0.85, -0.074, 0.0040, 0.0040, -0.0081, -0.065, -0.081, -0.050, -0.0040, 
   90.,    2.0,   0.49,  0.017,  -0.18,  -0.18,  -0.22,  -0.20,  0.017,   0.19,   0.22, 
   35.,    2.0,   0.53,   0.16,   0.30,   0.30,   0.15,   0.23,   0.36,   0.15,   0.18, 
   30.,    0.0,   0.73, -0.070,  0.058,  0.058,  0.080,  0.052,  0.041,  0.014,  0.078, 
   86.,    2.0,   0.42,  0.099, -0.062, -0.062,  0.020, -0.020,   0.22,   0.25,   0.28, 
   53.,    2.0,   0.75,  0.027,  0.018,  0.018, -0.014, -0.0072, -0.056, -0.076, -0.056, 
   35.,    1.0,   0.82,  -0.10,  0.043,  0.043,  0.062,  0.078,   0.11, -0.010,  0.038, 
   63.,    2.0,   0.77,   0.10,   0.12,   0.12,  0.063, 0.00025,  0.049, -0.092, -0.072, 
   82.,    2.0,   0.78, -0.062, -0.0095, -0.0095,  -0.15, -0.065,  -0.17,  -0.10, -0.084, 
   45.,    0.0,   0.86, -0.049, -0.076, -0.076, -0.030, -0.060, -0.041,  -0.12, -0.059, 
   41.,    2.0,   0.64,   0.12,  0.096,  0.096, -0.047, -0.095,  0.077,  0.038,  0.073, 
   14.,    1.0,   0.94, -0.054, -0.087, -0.087, -0.049,  -0.11,  0.033,  -0.14, -0.089, 
   75.,    2.0,   0.79, -0.090, -0.024, -0.024,  -0.13,  -0.12, -0.082,  -0.12, -0.098, 
   42.,    0.0,    1.0, -0.074, -0.035, -0.035, -0.049,  -0.28, -0.046,  -0.26,  -0.20, 
   31.,    0.0,   0.79, -0.033, -0.0079, -0.0079, 0.0037,  0.023, -0.028, -0.053,  0.013, 
   93.,    1.0,   0.98,  0.015,  0.012,  0.012, -0.074,  -0.30,  0.010,  -0.18,  -0.13, 
   14.,    2.0,   0.81,  0.010,  0.035,  0.035,  -0.11,  -0.16,  -0.33,  -0.14,  -0.12, 
   28.,    1.0,   0.70, -0.081,  -0.23,  -0.23, -0.092, -0.083, -0.031,   0.11,   0.16, 
   21.,    1.0,   0.97, -0.049, -0.083, -0.083, -0.083, -0.074, -0.083,  -0.16,  -0.12, 
   54.,    0.0,   0.89, -0.097, -0.060, -0.060, 0.0016, -0.026,  0.058,  -0.15, -0.084, 
   12.,    0.0,   0.52,   0.16,  0.084,  0.084,   0.30,   0.27,   0.34,   0.22,   0.29, 
   89.,    0.0,   0.81, -0.058, -0.025, -0.025, 0.0053,  0.011, -0.044, -0.070, -0.0074, 
   5.0,    2.0,   0.75, -0.033,  -0.12,  -0.12, -0.025, -0.074,   0.18, -0.079, -0.059, 
   81.,    2.0,   0.48,   0.33,   0.28,   0.28,   0.22,   0.17,  0.077,   0.19,   0.23, 
   77.,    2.0,   0.40,  -0.25, -0.086, -0.086,  0.093,  0.017, -0.078,   0.27,   0.31, 
   9.0,    0.0,   0.82, -0.064,  -0.16,  -0.16,  0.026, -0.069, 0.0085, -0.076, -0.014, 
   15.,    2.0,   0.47,  -0.19,  -0.27,  -0.27,  -0.27,  -0.11,  -0.21,   0.21,   0.24, 
   24.,    2.0,   0.94, -0.084,  0.029,  0.029,  0.019, -0.0067, 0.0030,  -0.27,  -0.25, 
   73.,    0.0,   0.42, 0.0096,  -0.15,  -0.15, -0.068,  0.091, -0.068,   0.32,   0.38, 
   50.,    0.0,   0.83, -0.038, -0.0053, -0.0053, -0.051, 0.0021,  0.013, -0.091, -0.029, 
   47.,    0.0,   0.95, -0.037,  0.010,  0.010,  0.037,  0.022,  0.023,  -0.21,  -0.15, 
   4.0,    2.0,   0.62,  -0.22,  -0.12,  -0.12, -0.046, -0.095,  -0.23,  0.059,  0.094, 
   2.0,    0.0,   0.98, -0.063, -0.013, -0.013, -0.0090, -0.0016, -0.023,  -0.24,  -0.17, 
   23.,    2.0,   0.92, -0.056,  0.032,  0.032, 0.0090, -0.021,  0.078,  -0.25,  -0.23, 
   15.,    1.0,   0.45,   0.24,   0.17,   0.17,   0.24,   0.19,   0.20,   0.36,   0.40, 
   26.,    2.0,   0.63, -0.056, -0.056, -0.056, -0.099, -0.092, -0.036,  0.047,  0.082, 
   7.0,    2.0,   0.77, -0.039, 0.0035, 0.0035, -0.048, -0.055, -0.079, -0.091, -0.071, 
   2.0,    2.0,   0.96, -0.087,  0.021,  0.021, -0.0065, 0.0058, -0.015,  -0.29,  -0.27, 
   54.,    2.0,   0.77, 0.0040,   0.15,   0.15,   0.23,   0.14, -0.011, -0.097, -0.077, 
   12.,    1.0,   0.77, -0.020,  -0.12,  -0.12, -0.0045, -0.077,  -0.25,  0.032,  0.080, 
   8.0,    0.0,   0.79,  -0.11,  -0.30,  -0.30,  -0.18,  -0.27, 0.0074, -0.045,  0.020, 
   9.0,    2.0,   0.71, -0.016,  0.058,  0.058,  0.071, -0.0042,  0.082, -0.036, -0.016, 
   38.,    1.0,   0.98, -0.011,  0.016,  0.016, 0.0081,  0.012, -0.0060,  -0.17,  -0.13, 
   55.,    0.0,   0.95, -0.040,  0.032,  0.032,  0.029,  -0.22,  0.035,  -0.21,  -0.15, 
   7.0,    2.0,   0.77, -0.039, 0.0035, 0.0035, -0.048, -0.055, -0.079, -0.091, -0.071, 
   59.,    0.0,   0.85, -0.069, -0.066, -0.066, -0.0069, -0.012, 0.0074,  -0.11, -0.050, 
   76.,    0.0,   0.71,  -0.12,  -0.14,  -0.14,  -0.12,  -0.11,  -0.40,  0.034,  0.099, 
   89.,    1.0,   0.89, -0.069, -0.032, -0.032, -0.076, -0.048, -0.068, -0.086, -0.040, 
   25.,    1.0,   0.93,  -0.17, -0.077, -0.077,  -0.12,  -0.13, -0.087,  -0.12, -0.076, 
   45.,    2.0,   0.81, -0.076,  0.024,  0.024, -0.054, -0.028, -0.081,  -0.13,  -0.11, 
   60.,    2.0,   0.36,   0.17,   0.12,   0.12,  0.070,  0.053,   0.10,   0.31,   0.35, 
   21.,    2.0,   0.87, -0.013,  0.053,  0.053, -0.020, -0.067, -0.024,  -0.20,  -0.17, 
   86.,    0.0,   0.29,   0.30,   0.20,   0.20,   0.19,   0.30,   0.18,   0.46,   0.52, 
   98.,    0.0,   0.67,  -0.13,  -0.23,  -0.23, -0.076, -0.044, -0.089,  0.072,   0.14, 
   86.,    0.0,   0.29,   0.30,   0.20,   0.20,   0.19,   0.30,   0.18,   0.46,   0.52, 
   20.,    1.0,   0.76, -0.085,  -0.20,  -0.20, -0.098,  -0.31, -0.090,  0.048,  0.096, 
   67.,    1.0,   0.74,  0.052,   0.12,   0.12,  0.023, -0.0043,  0.067,  0.070,   0.12, 
   15.,    2.0,   0.47,  -0.19,  -0.27,  -0.27,  -0.27,  -0.11,  -0.21,   0.21,   0.24, 
   56.,    2.0,   0.17,   0.24,   0.14,   0.14,   0.17,   0.19,  0.030,   0.51,   0.54, 
   22.,    0.0,   0.84, -0.096, -0.052, -0.052, -0.020, -0.046, -0.028, -0.097, -0.035, 
   60.,    2.0,   0.36,   0.17,   0.12,   0.12,  0.070,  0.053,   0.10,   0.31,   0.35, 
   52.,    2.0,   0.52,  -0.12, -0.081, -0.081,  -0.17,  -0.13,  -0.14,   0.16,   0.19, 
   65.,    1.0,   0.39,   0.22,  0.070,  0.070,  0.061,   0.11,   0.30,   0.42,   0.46, 
   83.,    1.0,   0.82,   0.18,   0.16,   0.16,   0.12,   0.11,   0.16, -0.018,  0.030, 
   49.,    2.0,   0.90,  -0.15,  -0.13,  -0.13,  -0.31,  -0.31,  -0.26,  -0.23,  -0.20, 
   32.,    0.0,   0.89, -0.019,  -0.23,  -0.23,  -0.45,  -0.27,  -0.43,  -0.15, -0.084, 
   71.,    2.0,    1.0,  -0.22, -0.069, -0.069,  -0.18,  -0.11,  -0.23,  -0.33,  -0.31, 
   1.0,    1.0,   0.91,  -0.13,  -0.16,  -0.16,  -0.18,  -0.13,  -0.36,  -0.11, -0.062, 
   94.,    0.0,   0.82, -0.096,  -0.17,  -0.17,  0.022, 0.0074, 0.0042, -0.080, -0.018, 
   42.,    2.0,   0.98,  -0.10,  0.018,  0.018, -0.034, -0.026, -0.014,  -0.31,  -0.29, 
   5.0,    2.0,   0.75, -0.033,  -0.12,  -0.12, -0.025, -0.074,   0.18, -0.079, -0.059, 
   35.,    0.0,   0.86,  -0.23,  -0.29,  -0.29,  -0.11,  -0.20, -0.068,  -0.12, -0.060, 
   30.,    1.0,   0.92,  -0.19,  -0.17,  -0.17,  -0.31,  -0.24,  -0.42,  -0.11, -0.068, 
   45.,    2.0,   0.81, -0.076,  0.024,  0.024, -0.054, -0.028, -0.081,  -0.13,  -0.11, 
   36.,    2.0,   0.46,  0.076,  0.028,  0.028,  0.016,  0.040, -0.053,   0.22,   0.25, 
   45.,    2.0,   0.81, -0.076,  0.024,  0.024, -0.054, -0.028, -0.081,  -0.13,  -0.11, 
   81.,    2.0,   0.48,   0.33,   0.28,   0.28,   0.22,   0.17,  0.077,   0.19,   0.23, 
   16.,    2.0,   0.91, -0.021,  0.053,  0.053,  0.036,  0.011,  0.092,  -0.24,  -0.21, 
   39.,    1.0,    1.0, -0.022, -0.0065, -0.0065, -0.014,  -0.26, -0.015,  -0.20,  -0.15, 
   95.,    1.0,   0.64,  0.078,  0.015,  0.015,   0.10,  0.039,  -0.15,   0.16,   0.21, 
