    HP,   MEAN,    STD, 
   knn,  0.084,   0.12, 
  mean,   0.34,   0.27, 
   dom,   0.15,  0.085, 
   reg,  0.013,   0.22, 
  diff,   0.28,   0.20, 
   dk2,  0.089,   0.14, 
   med,   0.24,   0.19, 
    dk,  0.088,  0.090, 
    HP,   MEAN,    STD, 
   reg, -0.012,  0.085, 
   dk2,  -0.11,   0.22, 
   dom,   0.11,   0.13, 
    dk, -0.014,   0.17, 
   knn,  -0.12,   0.37, 
  diff,  0.022,   0.14, 
   med, -0.050,   0.17, 
  mean,  0.021,   0.11, 
    HP,   MEAN,    STD, 
   dom,  0.055,   0.56, 
    dk, -0.018,   0.50, 
   med, -0.075,   0.77, 
   knn, -0.0035,   0.52, 
  diff, -0.0081,   0.52, 
   dk2, -0.027,   0.51, 
   reg, -0.0019,   0.41, 
  mean, -0.014,   0.77, 
