     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   41.,    1.0,   0.70, -0.081,  -0.10, -0.050,  -0.10, -0.075,  -0.10,  -0.11,  -0.10, 
   39.,    4.0,    0.0,   0.25,   0.35,    0.0,   0.18,   0.28,    0.0,   0.23,   0.20, 
   13.,    0.0,   0.21, 0.00085, -0.057, -0.080, -0.067, -0.043,  -0.18, -0.0044, -0.020, 
   26.,    1.0,   0.60,  0.028,   0.10,   0.10,   0.10,   0.10,  -0.10, -0.010,    0.0, 
   46.,    4.0,   0.50,  -0.21,  -0.15,  -0.15,  -0.27, -0.063,  -0.50,  -0.27,  -0.34, 
   22.,    2.0,   0.62,  0.029,   0.12,   0.19,   0.12,  0.094,   0.25,  0.066,    0.0, 
   42.,    1.0,   0.40,  0.039,    0.0,    0.0,  0.050,    0.0,    0.0,   0.19,   0.20, 
   39.,    1.0,   0.70,  -0.16,  -0.20,  -0.20,  -0.25,  -0.20,  -0.20,  -0.11,  -0.10, 
   81.,    4.0,   0.12,  0.098,   0.28,  -0.12,  0.035,   0.19,  -0.12,   0.11,  0.083, 
   97.,    0.0,   0.15,  0.082,   0.28,   0.19,   0.14,   0.16,  0.055,  0.060,  0.045, 
   86.,    3.0,   0.97, 0.0016, 0.0052,  0.012, -0.0050, -0.0087, 0.0065, 0.0094, 0.0095, 
   32.,    2.0,   0.75, -0.038,    0.0,    0.0,    0.0,    0.0,  -0.12, -0.061,  -0.12, 
   49.,    2.0,   0.62,  0.022,   0.12,   0.19,    0.0,    0.0,    0.0,  0.066,    0.0, 
   10.,    5.0,    9.6,   -4.0,   -5.1,   -3.5,   -4.5,   -5.7,   -5.6,   -5.3,   -5.6, 
   7.0,    0.0,   0.19,  0.025,  0.048,  0.048,  0.078,  0.034, -0.030,  0.010, -0.0052, 
   74.,    1.0,   0.40,   0.11,   0.10,   0.10,   0.20,   0.17,    0.0,   0.19,   0.20, 
   29.,    4.0,   0.36,  -0.11, -0.0069, -0.0069,  -0.13,  0.019,  -0.36,  -0.13,  -0.20, 
   0.0,    4.0,   0.68,  -0.34,  -0.33, -0.099,  -0.23,  -0.27,  -0.16,  -0.45,  -0.51, 
   92.,    1.0,   0.50,  0.027,   0.10,   0.10, -0.050,  0.025,  -0.10,  0.091,   0.10, 
   75.,    4.0,   0.27, -0.050,  -0.27,  -0.27,  0.053,  -0.27,  -0.27, -0.041,  -0.10, 
   36.,    5.0,    2.5,    1.0,   0.40,   0.32,   0.85,   0.72,   0.35,    1.8,    1.5, 
   22.,    1.0,   0.50,  0.057,   0.10,   0.30,    0.0,   0.10,    0.0,  0.091,   0.10, 
   74.,    3.0,   0.98, 0.0010, -0.0045, -0.0060, 0.0027, 0.0062,  0.017, 0.0063, 0.0065, 
   4.0,    5.0,    3.5, -0.0026,  -0.60,  -0.27,  -0.24,  -0.37,  -0.27,   0.84,   0.45, 
   63.,    4.0,   0.35, -0.033, 0.0059, 0.0059,  -0.35,  -0.10,  -0.35,  -0.12,  -0.18, 
   39.,    4.0,    0.0,   0.25,   0.35,    0.0,   0.18,   0.28,    0.0,   0.23,   0.20, 
   30.,    5.0,    3.2,   0.28,  -0.27,  -0.25, -0.078,  -0.31,  -0.38,    1.1,   0.73, 
   91.,    5.0,    4.5,   0.11,   -1.1,  -0.80,  -0.70,  -0.89,  -0.35, -0.098,  -0.50, 
   45.,    0.0,   0.43,  -0.22,  -0.22,  -0.24,  -0.22,  -0.21,  -0.17,  -0.22,  -0.24, 
   26.,    1.0,   0.60,  0.028,   0.10,   0.10,   0.10,   0.10,  -0.10, -0.010,    0.0, 
   19.,    1.0,   0.50,  0.020,  0.050,   0.10,   0.10,    0.0,  -0.10,  0.091,   0.10, 
   35.,    4.0,   0.53,  -0.26,  -0.14,  -0.17,  -0.22,  -0.11,  -0.53,  -0.30,  -0.37, 
   61.,    2.0,   0.75, -0.037, -0.062,    0.0, -0.062,    0.0,  -0.12, -0.061,  -0.12, 
   57.,    2.0,   0.62,  0.037,   0.12,   0.19,    0.0,    0.0,   0.12,  0.066,    0.0, 
   24.,    2.0,   0.62,  0.042,  0.062,  0.062,   0.12,    0.0,    0.0,  0.066,    0.0, 
   26.,    1.0,   0.60,  0.028,   0.10,   0.10,   0.10,   0.10,  -0.10, -0.010,    0.0, 
   59.,    3.0,   0.98, 1.3e-05, -0.0017, -0.0080, 0.0052, -0.0042, -0.028, 0.0028, 0.0030, 
   20.,    4.0,   0.39, -0.078, -0.035, -0.035,   0.12, -0.021, -0.046,  -0.16,  -0.22, 
   28.,    3.0,    1.0, -0.018, -0.019, -0.013, -0.0017, -0.012, -0.010, -0.017, -0.017, 
   49.,    2.0,   0.62,  0.022,   0.12,   0.19,    0.0,    0.0,    0.0,  0.066,    0.0, 
   27.,    2.0,   0.75, 0.0052,  -0.25,  -0.25,    0.0, -0.094,  -0.12, -0.061,  -0.12, 
   83.,    2.0,   0.88,  -0.20,  -0.19,  -0.12, -0.062,  -0.22,  -0.25,  -0.19,  -0.25, 
   59.,    5.0,    3.7,  -0.23,  -0.87,  -0.48,   -1.5, -0.012,  -0.98,   0.63,   0.24, 
   16.,    5.0,    4.5,  0.077,  -0.74,  -0.77,   0.36,  -0.24,    1.1,  -0.16,  -0.56, 
   55.,    3.0,    1.0, 0.00014, -0.0045, -0.0045, -0.0090, -0.0027, -0.0070, -0.016, -0.016, 
   57.,    3.0,   0.99, -0.012, -0.0085, -0.0035, -0.0032, -0.014, 0.0055, -0.013, -0.013, 
   93.,    1.0,   0.70,  -0.19,  -0.25,  -0.20,  -0.15,  -0.17,  -0.20,  -0.11,  -0.10, 
   78.,    0.0,   0.21, 0.0029, -0.067, 0.0036, -0.0034, -0.024, -0.0020, -0.0024, -0.018, 
   32.,    4.0,   0.51,  -0.16,  -0.16,  -0.19,  -0.17,  -0.24,   0.16,  -0.29,  -0.35, 
   66.,    5.0,    3.2,   0.33,   0.64,   0.51,   0.95,   0.20,  -0.45,    1.2,   0.80, 
   6.0,    5.0,    6.1,  -0.46,    3.5,   -1.4,    1.9,   0.57,    1.9,   -1.8,   -2.1, 
   61.,    4.0,   0.22, -0.019,   0.14,  -0.11, -0.019,  0.022,   0.43,  0.014, -0.051, 
   6.0,    3.0,   0.98, 0.0082,  0.018,  0.011,  0.013, -0.013, 0.0085, -0.00070, -0.0010, 
   79.,    4.0,    0.0,   0.19,   0.12,   0.12,   0.10,   0.32,   0.20,   0.23,   0.20, 
   22.,    0.0,   0.27, -0.051, -0.084, -0.084,  -0.11,  -0.10, -0.066, -0.069, -0.083, 
   1.0,    4.0,   0.27, -0.069,  0.086,  -0.17,  0.043,  -0.19,  -0.17, -0.040,  -0.10, 
   32.,    1.0,   0.50,  0.075,   0.10,   0.15,   0.10,   0.12,   0.10,  0.091,   0.10, 
   8.0,    0.0,   0.21, 0.0030, -0.017,  0.013,  0.085,  0.043, -0.055, -0.0011, -0.017, 
   34.,    2.0,   0.75, -0.042, -0.062,    0.0,    0.0,  -0.12,  -0.12, -0.061,  -0.12, 
   2.0,    5.0,    2.5, -0.045,  -0.29,   0.94,    1.0,   0.85,   0.38,    1.9,    1.5, 
   38.,    3.0,   0.96,  0.024,  0.030,  0.035,  0.035, 0.0072,  0.031,  0.025,  0.025, 
   13.,    3.0,   0.98, -0.0068, -0.016, -0.016, 0.00050, 0.0011, -0.0060, 0.00031, 0.00050, 
   52.,    5.0,    5.6,  0.070,   -1.5,  -0.79,    2.0,   -1.5,  -0.94,   -1.2,   -1.6, 
   42.,    1.0,   0.40,  0.039,    0.0,    0.0,  0.050,    0.0,    0.0,   0.19,   0.20, 
   88.,    1.0,   0.50,  0.034,   0.10,   0.10,    0.0,    0.0,   0.10,  0.091,   0.10, 
   21.,    4.0,    0.0,   0.18,   0.35,    0.0,    0.0,   0.17,    0.0,   0.23,   0.20, 
   56.,    3.0,    1.0, -0.013, -0.011, -0.0065, -0.00025, -0.017, 0.0025, -0.016, -0.016, 
   40.,    3.0,   0.98, -0.0060, -0.0072, -0.011, 0.0040, -0.018, -0.0095, -0.00020, -0.00050, 
