   SHA,   MEAN,    STD, 
   knn,  -0.13,   0.26, 
  mean,  -0.10,   0.32, 
   dom, -0.039,   0.29, 
   reg,  -0.14,   0.26, 
  diff,  -0.13,   0.29, 
   dk2,  -0.11,   0.24, 
   med,  -0.13,   0.31, 
    dk,  -0.12,   0.26, 
   SHA,   MEAN,    STD, 
   reg, 0.0096,  0.063, 
   dk2, -0.030,  0.072, 
   dom,  0.050,  0.079, 
    dk,  0.028,  0.070, 
   knn, -0.010,  0.062, 
  diff, 0.0076,  0.046, 
   med, -0.042,   0.11, 
  mean, -0.016,   0.11, 
   SHA,   MEAN,    STD, 
   dom, 0.0020,   0.12, 
    dk, 0.0063,   0.13, 
   med, -0.036,   0.16, 
   knn, -0.0050,   0.12, 
  diff, -0.0021,   0.14, 
   dk2, -0.0018,   0.12, 
   reg, -0.0015,   0.11, 
  mean, -0.0032,   0.16, 
