     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   58.,    4.0,  0.031,    0.0,    0.0,    0.0,   0.11,  0.063,  0.054, 
   17.,    4.0,   0.22, -0.062, -0.062, -0.058, -0.079,  -0.12,  -0.13, 
   99.,    4.0,  0.031,    0.0,    0.0, 0.0063,   0.11,  0.063,  0.051, 
   66.,    2.0,  0.015,  0.055,  0.016, -0.038,   0.17,   0.11,  0.081, 
   51.,    3.0,    0.0,  0.016,    0.0,  0.035,  0.090,  0.031,  0.065, 
   50.,    3.0,    0.0,  0.016,    0.0,    0.0,  0.090,  0.031,  0.066, 
   49.,    5.0,  0.063,  0.023, -0.047, -0.018,   0.10,  0.062,   0.11, 
   17.,    2.0,  0.077,  0.086,  0.020,  0.017,   0.10,  0.047,  0.027, 
   91.,    4.0,  0.031,   0.11,    0.0, 6.9e-18,   0.11,  0.063,   0.10, 
   8.0,    5.0,   0.25,   0.12,    0.0, -5.6e-17, -0.087,  -0.12, -0.034, 
   60.,    5.0,  0.031,  0.078,    0.0, -3.5e-18,   0.13,  0.094,  0.094, 
   66.,    0.0,  0.092,   0.41,  0.019,   0.36,   0.15,  0.063,   0.21, 
   53.,    4.0,  0.031,    0.0,    0.0,  0.030,   0.11,  0.063,  0.073, 
   59.,    4.0,  0.031,    0.0,    0.0,    0.0,   0.11,  0.063,  0.054, 
   0.0,    3.0,    1.0,  -0.98,  -0.97,  -0.71,  -0.92,  -0.97,  -0.95, 
   71.,    1.0,  0.092, -0.031, -0.031, -0.0042, -0.0046, -0.063, -0.039, 
   33.,    4.0,   0.38, -0.063,    0.0,  0.021,  -0.24,  -0.28,  -0.23, 
   23.,    4.0,   0.19, -0.016,    0.0, -0.075, -0.047, -0.094, -0.030, 
   53.,    3.0,    0.0,  0.031,  0.062,  0.061,  0.090,  0.031,  0.074, 
   29.,    4.0,  0.031,    0.0,    0.0, -0.0085,   0.11,  0.063,  0.054, 
   1.0,    5.0,   0.25,    0.0,    0.0, -0.0042, -0.087,  -0.12, -0.035, 
   74.,    1.0,  0.022, 0.0037,    0.0, -0.011,  0.066, 0.0073, -0.020, 
   89.,    5.0,   0.42,  -0.27,  -0.41,  -0.39,  -0.26,  -0.30,  -0.23, 
   22.,    5.0,   0.50,  -0.16,  -0.25,  -0.21,  -0.34,  -0.37,  -0.32, 
   38.,    5.0,  0.039, -0.012,    0.0,   0.20,   0.13,  0.086,   0.18, 
   97.,    3.0,    0.0,   0.19,   0.25,   0.41,  0.090,  0.031,   0.17, 
   90.,    1.0,  0.061,    0.0,    0.0, 7.6e-17,  0.027, -0.031,   0.25, 
   53.,    3.0,    0.0,  0.031,  0.062,  0.061,  0.090,  0.031,  0.074, 
   33.,    2.0,   0.16,  0.043,    0.0,  0.018,  0.017, -0.039,  0.010, 
   64.,    2.0,   0.25,  0.039,  -0.13,  -0.13, -0.070,  -0.13, -0.097, 
   14.,    0.0,   0.42,  0.084,   0.16,   0.28,  -0.18,  -0.26,  -0.12, 
   12.,    4.0,  0.031,  0.031,    0.0, -0.0050,   0.11,  0.063,   0.10, 
   68.,    0.0,   0.11,   0.39,  0.088,   0.11,   0.13,  0.044,   0.17, 
   54.,    2.0,  0.062,  0.052,   0.13,   0.13,   0.12,  0.062,  0.058, 
   21.,    5.0,   0.16,  0.031,   0.34,   0.29, 0.0079, -0.031,  0.033, 
   69.,    3.0,  0.031, -5.0e-05, -0.031, -0.027,  0.058,    0.0,  0.055, 
   93.,    0.0,  0.050,   0.45, -0.0088, -0.011,   0.19,   0.10,   0.17, 
   18.,    5.0,   0.12, -0.0078, -0.062,  0.041,  0.039,    0.0,  0.064, 
   41.,    5.0,  0.039, 0.0078, 0.0078, 0.0097,   0.13,  0.086,   0.18, 
   19.,    4.0,   0.25,   0.13,  -0.22,  -0.74,  -0.11,  -0.16, -0.044, 
   29.,    2.0,  0.077,    0.0,    0.0,  0.028,   0.10,  0.047,  0.019, 
   9.0,    2.0,    1.0,    0.0,  -0.50,  -0.40,  -0.83,  -0.88,   0.20, 
   55.,    2.0,   0.19,  -0.10,  -0.13, -0.058, -0.0071, -0.063, -0.067, 
   23.,    4.0,   0.19, -0.016,    0.0, -0.075, -0.047, -0.094, -0.030, 
   21.,    0.0,   0.16,   0.34, -0.048, -0.023,  0.080, -0.0039,  0.077, 
   85.,    4.0,  0.094, -0.063,  0.031,  0.020,  0.048,    0.0,  0.037, 
   72.,    0.0,   0.20,   0.30, -0.088,  0.036,  0.039, -0.044,  0.099, 
   48.,    4.0,  0.031,    0.0,    0.0, -0.0027,   0.11,  0.063,  0.061, 
   69.,    0.0,   0.11,   0.39,    0.0,  0.034,   0.13,  0.044,   0.15, 
   30.,    2.0,  0.040,   0.10,    0.0,  0.094,   0.14,  0.084,  0.093, 
   78.,    3.0,  0.023, -0.0077, -0.023, -0.0071,  0.066, 0.0079,  0.040, 
   65.,    3.0,   0.50,  -0.36,  -0.25,  -0.34,  -0.42,  -0.47,  -0.42, 
   66.,    2.0,  0.015,  0.055,  0.016, -0.038,   0.17,   0.11,  0.081, 
   16.,    0.0,   0.19,   0.31, -0.030, -0.051,  0.049, -0.034,   0.10, 
   38.,    1.0,  0.061, -0.039, -0.031, -0.026,  0.027, -0.031, -0.0066, 
   71.,    2.0,   0.12,  0.039,    0.0,  0.073,  0.056,    0.0,  0.061, 
   43.,    2.0,   0.25, -0.094,    0.0,  0.012, -0.070,  -0.13, -0.094, 
   16.,    0.0,   0.19,   0.31, -0.030, -0.051,  0.049, -0.034,   0.10, 
   69.,    1.0,  0.061, -0.043, -0.031, -0.031,  0.027, -0.031, -0.049, 
   91.,    4.0,  0.031,   0.11,    0.0, 6.9e-18,   0.11,  0.063,   0.10, 
   95.,    5.0,   0.19,  0.062,  0.062,  0.062, -0.024, -0.063,  0.030, 
   16.,    5.0,   0.12, -0.039,  0.070,  0.032,  0.047, 0.0078,  0.067, 
   29.,    2.0,  0.077,    0.0,    0.0,  0.028,   0.10,  0.047,  0.019, 
   23.,    2.0,  0.096,  0.067,    0.0,  0.013,  0.084,  0.028,  0.094, 
   31.,    1.0,  0.039, -0.017,    0.0, 0.0023,  0.049, -0.0097, -0.040, 
   61.,    2.0,   0.12, -0.055,    0.0, -1.4e-17,  0.056,    0.0, -0.029, 
   42.,    1.0,  0.061,    0.0,    0.0, 0.0023,  0.027, -0.031,  0.075, 
   7.0,    5.0,   0.25, -0.031,    0.0, -0.025, -0.087,  -0.12, -0.034, 
   77.,    0.0,   0.36,   0.15,  -0.15, -0.021,  -0.12,  -0.20, -0.061, 
   50.,    0.0,   0.86,  -0.36,  -0.63,  -0.31,  -0.63,  -0.71,  -0.58, 
   4.0,    0.0,  0.015,   0.49, -0.0037, 0.0014,   0.23,   0.14,   0.12, 
   36.,    2.0,  0.030,  0.047,  0.031,  0.051,   0.15,  0.094,  0.076, 
   15.,    0.0,   0.23,   0.27,   0.13,   0.14, 0.0072, -0.076,  0.061, 
   23.,    3.0,    0.0,  0.031,    0.0,   0.28,  0.090,  0.031,   0.10, 
   25.,    5.0,  0.023,    0.0,    0.0, -0.0013,   0.14,   0.10,   0.13, 
   15.,    4.0,   0.12,  0.031, -0.094,   0.25,  0.016, -0.031, -0.035, 
   99.,    2.0, 0.0070,    0.0,  0.039,   0.11,   0.17,   0.12,  0.083, 
   57.,    2.0,   0.12, -0.055,    0.0, -1.4e-17,  0.056,    0.0, -0.029, 
   3.0,    5.0,   0.25,    0.0,    0.0, -0.0042, -0.087,  -0.12, -0.035, 
   34.,    4.0,   0.38,    0.0,    0.0, -0.0035,  -0.24,  -0.28,  -0.16, 
   81.,    0.0,   0.36,   0.15,  -0.20,  -0.24,  -0.12,  -0.20, -0.075, 
   45.,    0.0,   0.15,   0.36,  -0.10,  0.023,  0.093, 0.0088,   0.14, 
   97.,    5.0,   0.19, -0.031,  0.062,  0.062, -0.024, -0.063, -0.063, 
   98.,    0.0,  0.011,   0.49, 0.0037,  0.028,   0.23,   0.14,   0.12, 
   71.,    0.0,  0.073,   0.43,  0.082,  0.021,   0.17,  0.082,   0.17, 
   4.0,    4.0,   0.25,    0.0,    0.0, -0.022,  -0.11,  -0.16,  0.035, 
