     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   19.,    2.0,   0.92,  0.061,  0.077,  0.063, -0.091, -0.099, -0.032, 
   85.,    1.0,   0.89, -0.035, -0.036, -0.0073,  0.023,  0.019, -0.023, 
   52.,    2.0,   0.89,  -0.19,  -0.19, -0.038, -0.060, -0.068,  -0.19, 
   99.,    1.0,   0.75,   0.13,  0.075,  0.055,   0.17,   0.16,   0.15, 
   56.,    0.0,   0.77,   0.11,   0.17,  0.066,  0.098,  0.094,   0.13, 
   31.,    2.0,   0.97,  -0.12,  -0.20,  -0.27,  -0.14,  -0.15,  -0.14, 
   19.,    2.0,   0.92,  0.061,  0.077,  0.063, -0.091, -0.099, -0.032, 
   29.,    2.0,   0.93,  0.032,  -0.11, -0.086, -0.095,  -0.10, -0.051, 
   84.,    2.0,   0.60,   0.20,   0.17,   0.21,   0.23,   0.23,   0.18, 
   68.,    2.0,   0.68,   0.17,   0.32,   0.18,   0.15,   0.15,   0.16, 
   61.,    2.0,   0.78, -0.026,  -0.13, -0.086,  0.057,  0.052, -0.0077, 
   74.,    0.0,   0.86, -0.070, 0.0031, -0.046, 0.0066, 0.0031, -0.052, 
   55.,    0.0,   0.83, -0.018, -0.013, -0.057,  0.037,  0.033,  0.011, 
   39.,    2.0,   0.81,   0.15,  0.079,   0.17,  0.021,  0.016,  0.060, 
   15.,    2.0,   0.95,  0.036,  0.025,  0.010,  -0.12,  -0.12, -0.046, 
   84.,    2.0,   0.60,   0.20,   0.17,   0.21,   0.23,   0.23,   0.18, 
   28.,    2.0,    1.0,  -0.15,  -0.23,  -0.31,  -0.17,  -0.18,  -0.13, 
   84.,    0.0,   0.84,  -0.14, -0.033, -0.056,  0.035,  0.031, -0.073, 
   76.,    1.0,   0.85,  0.024,  0.031,  0.034,  0.060,  0.055,  0.056, 
   72.,    0.0,   0.70,   0.17,   0.23,   0.21,   0.17,   0.17,   0.17, 
   32.,    0.0,   0.92, -0.0094, -0.030,  0.059, -0.051, -0.057, -0.026, 
   76.,    1.0,   0.85,  0.024,  0.031,  0.034,  0.060,  0.055,  0.056, 
   53.,    1.0,   0.89, -0.0096,  0.076,  0.058,  0.021,  0.017,  0.026, 
   93.,    2.0,   0.64,   0.11,   0.14,   0.35,   0.19,   0.19,   0.14, 
   91.,    2.0,   0.71, -0.024,  0.082,  0.060,   0.12,   0.12,  0.046, 
   16.,    2.0,   0.97, -0.0075, -0.010,  0.015,  -0.14,  -0.15, -0.093, 
   88.,    0.0,   0.78,  0.014,  0.074,  0.067,  0.091,  0.087,  0.038, 
   46.,    1.0,   0.96, -0.063, -0.068,  -0.21, -0.049, -0.059, -0.061, 
   92.,    0.0,   0.80, -0.046, 0.0052, 0.0036,  0.074,  0.070, -0.026, 
   17.,    2.0,   0.96, 0.0025,  0.010,  0.030,  -0.13,  -0.14, -0.083, 
   21.,    0.0,   0.99, -0.097, -0.090,  -0.12,  -0.12,  -0.13, -0.053, 
   10.,    1.0,   0.98, -0.042, -0.0040, -0.015, -0.072, -0.083, -0.036, 
   22.,    2.0,   0.96, -0.00050, 0.0040, 0.0085,  -0.13,  -0.14, -0.083, 
   18.,    2.0,   0.94,  0.029, 0.0030,  0.034,  -0.11,  -0.12, -0.048, 
   49.,    0.0,   0.93,  -0.14, -0.057, -0.060, -0.063, -0.069, -0.094, 
   25.,    2.0,   0.92, -0.069,  0.078,  -0.47, -0.090, -0.098, -0.068, 
   16.,    0.0,   0.94,  0.020,  0.028,  0.011, -0.071, -0.077, -0.011, 
   66.,    0.0,   0.76,  0.044, -0.043,   0.11,   0.11,   0.10,  0.080, 
   6.0,    0.0,   0.97, -0.0078, -0.028, 0.0039,  -0.10,  -0.11, -0.038, 
   31.,    1.0,   0.90, 0.0030, -0.033,  0.068,  0.017,  0.013,  0.058, 
   54.,    2.0,   0.90,  -0.22,  -0.21,  -0.19, -0.069, -0.077,  -0.16, 
   36.,    0.0,   0.90, -0.034, -0.043, -0.047, -0.033, -0.040, -0.021, 
   35.,    1.0,   0.89,  0.030,   0.11,   0.12,  0.027,  0.023,  0.048, 
