     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   34.,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.039, 
   1.0,    1.0,   0.60,  0.050,  -0.10,  -0.10, -0.0020,    0.0,  0.016, 
   8.0,    5.0,    3.2,   0.90,   0.97,    1.3,    1.1,   0.60,    2.2, 
   71.,    1.0,   0.40,   0.15,   0.10,  0.068,   0.20,   0.20,   0.13, 
   23.,    0.0,  0.084,  0.069,  0.070,   0.14,   0.12,   0.11,   0.12, 
   0.0,    5.0,    5.2,  0.086,   0.27,  -0.23,  -0.88,   -1.4,   0.19, 
   69.,    2.0,   0.50,   0.31,   0.12,   0.14,   0.19,   0.12,   0.20, 
   26.,    4.0,   0.12,   0.15,   0.28,   0.24,   0.12,   0.11,  0.081, 
   85.,    4.0,    0.0,   0.36,    0.0,   0.49,   0.24,   0.24,   0.26, 
   1.0,    4.0,   0.52,  -0.12,  -0.36,  -0.28,  -0.28,  -0.32,  -0.28, 
   96.,    1.0,   0.70,  0.050,    0.0, -0.070,  -0.10,  -0.10, -0.028, 
   30.,    2.0,   0.50,  -0.12,   0.25,   0.37,   0.19,   0.12,   0.24, 
   56.,    0.0,  0.053,   0.13,   0.12,   0.25,   0.15,   0.14,   0.17, 
   86.,    4.0,    0.0,   0.32,   0.26,   0.43,   0.24,   0.24,   0.28, 
   84.,    3.0,   0.99, -0.0070, 0.0015, -0.011, -0.012, -0.012, -0.013, 
   81.,    5.0,    3.8,   0.73,    1.5,   0.71,   0.51,  0.013,   0.49, 
   14.,    0.0,   0.22, -0.039, -0.045, -0.0097, -0.016, -0.026, -0.022, 
   0.0,    3.0,    1.0, -0.011, -0.0030, -0.0074, -0.016, -0.016, -0.012, 
   93.,    4.0,   0.56,  -0.32,  -0.56,   -1.1,  -0.32,  -0.35,  -0.33, 
   30.,    5.0,    1.0,    1.3,    1.7,    4.2,    3.4,    2.9,    1.2, 
   27.,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.038, 
   34.,    0.0,   0.15,   0.17,  0.083,   0.11,  0.056,  0.045,  0.076, 
   0.0,    5.0,    5.2,  0.086,   0.27,  -0.23,  -0.88,   -1.4,   0.19, 
   4.0,    0.0,   0.28, -0.056, -0.097,  0.058, -0.083, -0.093, -0.066, 
   43.,    5.0,    3.3,   0.96,   0.27,   0.20,    1.1,   0.59, -0.030, 
   26.,    3.0,   0.97, 0.0017, 0.0015, 0.0036,  0.010, 0.0095, 0.0052, 
