     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   21.,    5.0,   0.38, -0.028, -0.093, -0.045, -0.064, -0.095, -0.094, 
   17.,    2.0,   0.47,  0.060,  0.093,  0.017,  -0.13,  -0.16,  0.081, 
   68.,    4.0,   0.50, -0.069,  -0.17,  -0.24,  0.037,  0.023, -0.065, 
   26.,    3.0,   0.42, -0.094, -0.064, -0.076, -0.089,  -0.12, -0.071, 
   13.,    5.0,   0.36,  0.017, -0.075, -0.056, -0.049, -0.080,  0.070, 
   36.,    4.0,   0.64,  -0.11,  -0.11,  -0.12,  -0.10,  -0.12,  -0.10, 
   39.,    2.0,   0.27,  0.057, -0.068,  0.055,  0.072,  0.038,  0.059, 
   92.,    5.0,   0.37, -0.069,  0.013, -0.011, -0.057, -0.088,  -0.16, 
   52.,    5.0,   0.31, 0.0035, 0.0090, -0.038, 0.0047, -0.027,  0.065, 
   44.,    5.0,   0.26,  0.052, 0.0020,  0.072,  0.059,  0.029,  0.048, 
   43.,    0.0,   0.17, 0.0015,  0.048, -0.064,  0.058,  0.015, -0.030, 
   58.,    2.0,   0.28, -0.016,  0.024, -0.0036,  0.067,  0.033, -0.061, 
   41.,    1.0,   0.54,  -0.29,  -0.33,  -0.17,  -0.27,  -0.31,  -0.43, 
   16.,    5.0,   0.29,  0.072,  0.086,  0.058,  0.030, -0.0020,   0.10, 
   96.,    4.0,   0.43, -0.066,  -0.14, 0.0089,   0.10,  0.090,  0.061, 
   6.0,    5.0,    1.0,  -0.56,  -0.62,  -0.46,  -0.69,  -0.72,  -0.57, 
   15.,    3.0,   0.45,  0.067,  0.032,  0.098,  -0.11,  -0.15,  0.033, 
   31.,    3.0,   0.44, -0.058, -0.079, -0.060,  -0.11,  -0.14, -0.047, 
   76.,    2.0,   0.26, 0.0035, 0.0050, -0.026,  0.086,  0.052, -0.0014, 
   25.,    4.0,   0.61, -0.061, -0.068, -0.093, -0.076, -0.089, -0.075, 
   9.0,    3.0,   0.53,  0.011,  0.088,  0.066,  -0.19,  -0.23, -0.020, 
   33.,    1.0,   0.34, -0.089, -0.092,  -0.10, -0.067,  -0.11,  -0.15, 
   6.0,    2.0,   0.49,  0.091,  0.078,  -0.10,  -0.15,  -0.19,  0.088, 
   71.,    3.0,   0.27, -0.0055,  0.031, -0.036,  0.067,  0.031,  0.027, 
   76.,    5.0,   0.33, -0.059, -0.0070, -0.072, -0.017, -0.048, -0.078, 
   23.,    2.0,   0.39,  0.015,  0.018, -0.011, -0.046, -0.085,  0.032, 
   5.0,    1.0,   0.89,  0.029, -0.022,  -0.18,  -0.62,  -0.65,  -0.33, 
   85.,    5.0,   0.20,  0.099,  0.018,   0.12,   0.11,  0.082,  0.089, 
   34.,    3.0,   0.30, -0.087,   0.12, -0.084,  0.035, -0.0030, -0.044, 
   34.,    5.0,   0.24,  0.099,    0.0,  0.076,  0.079,  0.049,  0.055, 
   23.,    0.0,   0.20, -0.027,   0.11,  0.059,  0.028, -0.014, -0.034, 
   12.,    2.0,   0.50,  0.024,  0.024, -0.061,  -0.16,  -0.20, -0.044, 
   57.,    0.0,   0.10, -0.010,  -0.10,  -0.13,   0.13,  0.085, -0.044, 
   67.,    3.0,   0.27, -0.058, -0.051, -0.047,  0.066,  0.030, -0.041, 
   5.0,    1.0,   0.89,  0.029, -0.022,  -0.18,  -0.62,  -0.65,  -0.33, 
   40.,    2.0,   0.39, -0.037,  -0.20, -0.072, -0.045, -0.084, -0.086, 
   2.0,    3.0,   0.74,  0.072, -0.061,  -0.14,  -0.40,  -0.44,  -0.16, 
   43.,    3.0,   0.27,  0.048,  0.073,  0.046,  0.070,  0.034,  0.024, 
   43.,    0.0,   0.17, 0.0015,  0.048, -0.064,  0.058,  0.015, -0.030, 
   66.,    5.0,   0.60,  -0.29,  -0.32,  -0.25,  -0.28,  -0.31,  -0.38, 
   38.,    2.0,   0.39, 0.0020, -0.067,  0.026, -0.044, -0.083, -0.019, 
   5.0,    5.0,   0.68,  -0.11,  -0.27,  -0.25,  -0.37,  -0.40,  -0.24, 
   24.,    5.0,   0.24,   0.11, -0.0070,  0.019,  0.072,  0.042,  0.088, 
   88.,    0.0,   0.14,  0.037, -0.010, -0.032,  0.094,  0.051,  0.013, 
   20.,    2.0,   0.41,   0.11, -0.018,  0.089, -0.064,  -0.10,   0.11, 
   32.,    1.0,   0.60,  -0.26,  -0.38,  -0.46,  -0.33,  -0.37,  -0.39, 
   94.,    5.0,   0.21,  0.068,  0.041,  0.073,   0.11,  0.075,   0.12, 
   84.,    5.0,   0.28, -0.028,  -0.10, -0.059,  0.039, 0.0090, 0.00072, 
   37.,    3.0,   0.28, -0.041,  0.043, -0.014,  0.055,  0.019, -0.0031, 
   23.,    4.0,   0.81,  -0.25,  -0.25,  -0.30,  -0.27,  -0.28,  -0.25, 
   3.0,    0.0,   0.67, -0.082,  0.016, -0.054,  -0.44,  -0.48,  -0.11, 
   83.,    5.0,   0.31,  0.024, -0.095,   0.21, 0.0097, -0.022,  -0.16, 
   31.,    1.0,   0.25, -0.077, -0.086,  0.086,  0.026, -0.018, -0.00096, 
   86.,    2.0,   0.27,  0.028, -0.043,  0.045,  0.078,  0.044,  0.022, 
   67.,    4.0,   0.59,  -0.11,  -0.19,  -0.13, -0.058, -0.071,  -0.12, 
   5.0,    2.0,   0.57, -0.036, -0.087, -0.036,  -0.23,  -0.27,  -0.12, 
   82.,    4.0,   0.53,  -0.17,  0.045,  0.012,  0.011, -0.0030, -0.052, 
   98.,    1.0,    0.0,   0.21,   0.19,  0.060,   0.28,   0.24,   0.19, 
   93.,    5.0,   0.25,  0.012,  0.092,  0.036,  0.065,  0.035,  0.040, 
   62.,    2.0,   0.26,   0.11,  0.088,   0.16,  0.086,  0.052,  0.092, 
   8.0,    1.0,   0.86,  -0.17,  -0.20, -0.044,  -0.59,  -0.63,  -0.22, 
   54.,    4.0,   0.59, -0.096, -0.046,  -0.17, -0.057, -0.070, -0.019, 
   44.,    3.0,   0.33, -0.096,  -0.13, -0.039,  0.011, -0.026, -0.068, 
   10.,    1.0,   0.50, -0.093,  0.045,   0.12,  -0.23,  -0.27,  0.030, 
   1.0,    5.0,   0.52,  0.086,  0.040,   0.49,  -0.20,  -0.23, -0.00098, 
   6.0,    2.0,   0.49,  0.091,  0.078,  -0.10,  -0.15,  -0.19,  0.088, 
   56.,    2.0,   0.30, -0.039, -0.024, -0.079,  0.043, 0.0090, -0.037, 
   92.,    5.0,   0.37, -0.069,  0.013, -0.011, -0.057, -0.088,  -0.16, 
   94.,    1.0,   0.29,  -0.13,  0.088, 0.0097, -0.014, -0.057,  0.025, 
   82.,    2.0,   0.23,  0.030,  0.039,   0.16,   0.11,  0.079, -0.0081, 
   52.,    1.0,   0.22,   0.20,   0.33,   0.10,  0.059,  0.024,   0.20, 
   10.,    2.0,   0.51,  0.074,  0.018, 0.0097,  -0.17,  -0.21,  0.084, 
   59.,    4.0,   0.49, -0.084,  0.020, -0.0089,  0.042,  0.028, 0.0055, 
   89.,    0.0,   0.13, -0.0030,  0.010,  0.090,   0.10,  0.061,  0.052, 
   38.,    5.0,   0.26,  0.044, -0.0040, -0.0016,  0.057,  0.027,  0.067, 
   30.,    2.0,   0.50,  -0.14,  -0.16, -0.054,  -0.16,  -0.20, -0.097, 
   79.,    1.0,   0.38,  -0.13, -0.088,  -0.13,  -0.10,  -0.14, -0.079, 
   84.,    1.0,    0.0,   0.16,   0.16,   0.14,   0.28,   0.24,   0.19, 
   19.,    3.0,   0.41, -0.0050,  0.071,  0.085, -0.071,  -0.11, -0.025, 
   81.,    2.0,   0.28, -0.021,  -0.11, -0.083,  0.062,  0.028, -0.018, 
   37.,    3.0,   0.28, -0.041,  0.043, -0.014,  0.055,  0.019, -0.0031, 
   74.,    0.0,   0.15,  0.027,  0.033, -0.036,  0.084,  0.041, -0.0022, 
   73.,    0.0,   0.12,  0.058,  0.064,  0.044,   0.12,  0.072,  0.084, 
   5.0,    4.0,   0.44,   0.27,  0.065, -0.052,  0.096,  0.081,   0.23, 
   91.,    1.0,  0.077,  0.082,   0.20,   0.17,   0.20,   0.16,   0.23, 
   84.,    3.0,   0.22, -0.011,  0.082, -0.096,   0.12,  0.084, 0.0079, 
   88.,    0.0,   0.14,  0.037, -0.010, -0.032,  0.094,  0.051,  0.013, 
   57.,    3.0,   0.33,  0.029, -0.075, -0.022, 0.0063, -0.031,  0.082, 
   5.0,    5.0,   0.68,  -0.11,  -0.27,  -0.25,  -0.37,  -0.40,  -0.24, 
   0.0,    0.0,    1.0,  -0.21,  -0.58,  -0.40,  -0.78,  -0.81,  -0.57, 
   33.,    2.0,   0.37,  0.032,  0.016,  0.094, -0.029, -0.068,  0.030, 
   64.,    3.0,   0.19,  0.083,  0.063,  0.075,   0.15,   0.11,   0.20, 
   59.,    3.0,   0.26, -0.027, -0.030, -0.055,  0.079,  0.043,  0.019, 
   68.,    4.0,   0.50, -0.069,  -0.17,  -0.24,  0.037,  0.023, -0.065, 
   83.,    0.0,   0.42,  -0.25,  -0.24,  -0.24,  -0.19,  -0.23,  -0.15, 
   49.,    1.0,   0.19,   0.14,  0.058,  0.046,  0.084,  0.049,   0.13, 
   47.,    0.0,    0.0,   0.18,   0.10,   0.22,   0.23,   0.19,   0.19, 
   49.,    0.0,   0.26, -0.087,  -0.12,  -0.27, -0.031, -0.073, -0.082, 
   90.,    0.0,   0.20, -0.020, -0.039, -0.090,  0.035, -0.0070, -0.031, 
   98.,    3.0,   0.22,   0.11,  0.085,  0.078,   0.12,  0.079,  0.088, 
   58.,    1.0,   0.21, -0.038, -0.010,  0.014,  0.065,  0.030,  0.065, 
   5.0,    4.0,   0.44,   0.27,  0.065, -0.052,  0.096,  0.081,   0.23, 
   6.0,    0.0,   0.48,   0.17,  0.036,   0.12,  -0.26,  -0.29, -0.0034, 
   88.,    0.0,   0.14,  0.037, -0.010, -0.032,  0.094,  0.051,  0.013, 
   65.,    5.0,   0.28, 0.0070, -0.030, -0.028,  0.034, 0.0040, 0.0028, 
   29.,    4.0,   0.65, -0.027,   0.15,  0.032,  -0.12,  -0.13, -0.043, 
   23.,    3.0,   0.42, -0.020,   0.10,  0.039, -0.087,  -0.12, -0.044, 
   64.,    4.0,   0.62, -0.069, -0.013, -0.035, -0.083, -0.096, -0.052, 
   67.,    4.0,   0.59,  -0.11,  -0.19,  -0.13, -0.058, -0.071,  -0.12, 
   89.,    2.0,   0.23, -0.061, -0.0030,  0.091,   0.11,  0.077, -0.050, 
   28.,    4.0,   0.54, 0.0065,  0.068,   0.15, -0.0073, -0.021, 0.0018, 
   90.,    4.0,   0.39,  0.038,  0.011,  0.022,   0.14,   0.13,  0.052, 
   59.,    4.0,   0.49, -0.084,  0.020, -0.0089,  0.042,  0.028, 0.0055, 
   47.,    5.0,   0.28,  0.026, -0.081, -0.039,  0.039, 0.0090,  0.022, 
   57.,    1.0,    0.0,   0.16,   0.16,   0.14,   0.28,   0.24,   0.17, 
   61.,    1.0,   0.32,  0.095, -0.034,  0.033, -0.042, -0.085,  0.061, 
   47.,    5.0,   0.28,  0.026, -0.081, -0.039,  0.039, 0.0090,  0.022, 
   49.,    1.0,   0.19,   0.14,  0.058,  0.046,  0.084,  0.049,   0.13, 
   69.,    4.0,   0.57,  -0.20, -0.045,  -0.11, -0.035, -0.048, -0.075, 
   99.,    1.0,    0.0,   0.16,    0.0,   0.10,   0.28,   0.24,  0.067, 
   16.,    3.0,   0.48, -0.059,  -0.10, -0.062,  -0.14,  -0.18, -0.052, 
   1.0,    3.0,   0.71,  0.097, -0.036,  -0.33,  -0.38,  -0.41,  0.052, 
   97.,    3.0,   0.23,  0.066, -0.041,  0.024,   0.11,  0.069,   0.11, 
   33.,    2.0,   0.37,  0.032,  0.016,  0.094, -0.029, -0.068,  0.030, 
   23.,    0.0,   0.20, -0.027,   0.11,  0.059,  0.028, -0.014, -0.034, 
   5.0,    4.0,   0.44,   0.27,  0.065, -0.052,  0.096,  0.081,   0.23, 
   68.,    0.0,   0.18, -0.0055,    0.0, -0.038,  0.050, 0.0080,  0.087, 
   59.,    4.0,   0.49, -0.084,  0.020, -0.0089,  0.042,  0.028, 0.0055, 
   32.,    1.0,   0.60,  -0.26,  -0.38,  -0.46,  -0.33,  -0.37,  -0.39, 
   49.,    1.0,   0.19,   0.14,  0.058,  0.046,  0.084,  0.049,   0.13, 
   40.,    5.0,   0.37, -0.081,  -0.15,  -0.17, -0.053, -0.084, -0.083, 
   43.,    0.0,   0.17, 0.0015,  0.048, -0.064,  0.058,  0.015, -0.030, 
   56.,    4.0,   0.48,  0.073,  0.060,  0.064,  0.060,  0.046,  0.036, 
   36.,    1.0,   0.19, -0.029, -0.025, -0.027,  0.087,  0.052,  0.030, 
   16.,    1.0,   0.34,  0.075,  -0.20, -0.089, -0.062,  -0.11,   0.10, 
   0.0,    5.0,   0.75,   0.25,  -0.19, -0.051,  -0.44,  -0.47,  -0.41, 
   35.,    1.0,   0.16, -0.0045,  -0.16,  -0.11,   0.11,  0.077, -0.0099, 
   9.0,    3.0,   0.53,  0.011,  0.088,  0.066,  -0.19,  -0.23, -0.020, 
   17.,    5.0,   0.35,  0.033,  0.016,  0.061, -0.033, -0.064,  -0.13, 
   89.,    0.0,   0.13, -0.0030,  0.010,  0.090,   0.10,  0.061,  0.052, 
   22.,    0.0,   0.35,  -0.26,  -0.19,  -0.67,  -0.12,  -0.16,  -0.30, 
   38.,    0.0,   0.17,  0.010, -0.075, -0.058,  0.067,  0.024, -0.0011, 
   44.,    2.0,   0.26,  0.092,  0.061, -0.048,  0.085,  0.051,  0.076, 
   36.,    0.0,   0.16, -0.032, -0.067,  0.075,  0.075,  0.032,  0.023, 
   51.,    3.0,   0.30,  0.029, -0.043, 0.0043,  0.036, -0.0020,  0.038, 
   33.,    1.0,   0.34, -0.089, -0.092,  -0.10, -0.067,  -0.11,  -0.15, 
   94.,    2.0,   0.14,  0.076,  0.042,  0.024,   0.21,   0.17,  0.065, 
   48.,    0.0,   0.14,  0.040,   0.22,   0.13,  0.094,  0.051,  0.084, 
   27.,    1.0,   0.22, -0.015, -0.072,  0.017,  0.054,  0.019, -0.0036, 
   3.0,    3.0,   0.68,   0.13,  0.061,  0.027,  -0.34,  -0.38, -0.055, 
   61.,    4.0,   0.34,   0.18,  0.028,   0.15,   0.19,   0.18,   0.16, 
   65.,    1.0,   0.28, -0.039, -0.0080, -0.070, -0.0078, -0.051, -0.0024, 
   12.,    0.0,   0.38,  0.045, -0.074,  -0.18,  -0.15,  -0.19, -0.00052, 
   49.,    1.0,   0.19,   0.14,  0.058,  0.046,  0.084,  0.049,   0.13, 
   64.,    4.0,   0.62, -0.069, -0.013, -0.035, -0.083, -0.096, -0.052, 
   49.,    0.0,   0.26, -0.087,  -0.12,  -0.27, -0.031, -0.073, -0.082, 
   29.,    3.0,   0.34,  0.074,   0.18,   0.13, -0.0088, -0.046,   0.11, 
   9.0,    4.0,   0.73,  -0.10, -0.098,  -0.11,  -0.19,  -0.20, -0.090, 
   11.,    4.0,   0.71, -0.089,  -0.10, -0.083,  -0.18,  -0.19, -0.076, 
   5.0,    0.0,   0.52,   0.32,  0.093,  0.048,  -0.29,  -0.33,   0.11, 
   3.0,    5.0,   0.56,   0.28,   0.11, -0.083,  -0.24,  -0.27, -0.065, 
   42.,    0.0,   0.20, -0.020, -0.092, -0.059,  0.035, -0.0070, -0.0090, 
   41.,    5.0,   0.27,  0.064, 0.0060, -0.044,  0.052,  0.022, -0.038, 
   24.,    0.0,   0.32,  -0.14, -0.014, -0.011, -0.085,  -0.13, -0.035, 
