   SHA,   MEAN,    STD, 
   reg, 0.00079,   0.10, 
   lrg, -0.0076,   0.14, 
   dom, 0.0068,   0.12, 
  diff, -0.0036,   0.14, 
    dk, 0.0085,   0.13, 
   dk2, -0.0079,   0.13, 
   knn, -0.0088,   0.13, 
  mean, -0.013,   0.19, 
   med, -0.046,   0.19, 
   SHA,   MEAN,    STD, 
lay_all, -0.011,    0.0, 
lay_guess,  -0.24,    0.0, 
  mean,  -0.16,    0.0, 
   med,  -0.19,    0.0, 
   SHA,   MEAN,    STD, 
lay_all, -0.024,  0.034, 
lay_guess,  -0.53,   0.62, 
  mean,  -0.11,   0.21, 
   med,  -0.15,   0.21, 
   SHA,   MEAN,    STD, 
lay_all, -0.020,  0.024, 
lay_guess,  -0.18,   0.37, 
  mean,  0.036,   0.13, 
   med, 0.00060,   0.13, 
   SHA,   MEAN,    STD, 
lay_all, -0.011,  0.020, 
lay_guess,  -0.15,   0.26, 
  mean,  0.029,   0.14, 
   med, -0.0076,   0.14, 
   SHA,   MEAN,    STD, 
lay_all, -0.00088,  0.062, 
lay_guess, -0.093,   0.36, 
  mean,  -0.11,   0.20, 
   med,  -0.14,   0.19, 
   SHA,   MEAN,    STD, 
lay_all,  0.030,  0.031, 
lay_guess, -0.057,   0.15, 
  mean,  0.027,  0.090, 
   med, -0.013,  0.092, 
   SHA,   MEAN,    STD, 
lay_all, -0.039,  0.024, 
lay_guess, -0.021,  0.089, 
  mean,  0.030,   0.14, 
   med, -0.0074,   0.14, 
   SHA,   MEAN,    STD, 
lay_all,  0.014,    0.0, 
lay_guess,  0.014,    0.0, 
  mean,  0.091,    0.0, 
   med,  0.055,    0.0, 
   SHA,   MEAN,    STD, 
lay_all, -0.0092,    0.0, 
lay_guess, -0.029,    0.0, 
  mean,  0.035,    0.0, 
   med, -0.0030,    0.0, 
       SHA,       MEAN,        STD, 
   lay_all, -0.0199440,    0.00000, 
 lay_guess, -0.0199440,    0.00000, 
      mean, -0.000383838,    0.00000, 
       med, -0.0320000,    0.00000, 
       SHA,       MEAN,        STD, 
   lay_all, 0.00943393,    0.00000, 
 lay_guess, 0.00943393,    0.00000, 
      mean,   0.128222,    0.00000, 
       med,  0.0850000,    0.00000, 
